ID,Label,Type
Giessae,Giessae,Ort
K10plus_553173561,"The voyage of Italy, or, A compleat journey through Italy. in two parts : with the characters of the people, and the description of the chie (1670)",Buch
"Lassels, Richard","Lassels, Richard",Person
"Simon Wilson","Simon Wilson",Person
"[s.n.], and are to be sold in London, by John Starkey","[s.n.], and are to be sold in London, by John Starkey",Druckende_Verlegende
"Newly printed at Paris","Newly printed at Paris",Ort
K10plus_151871949,"Jetztlebendes Europa, Oder Neue Historische und Politische Erzehlung aller seiner Stände, wie solche gegen dem Ende deß Jahrs 1666. ihr We (1670)",Buch
gnd_124861075,"Chappuzeau, Samuel",Person
Schiele,Schiele,Druckende_Verlegende
"Franckfurt am Mayn","Franckfurt am Mayn",Ort
Geographie,Geographie,Inhalt_Gattung
K10plus_246014911,"L'imitation de Jesus Christ (1665)",Buch
gnd_118642766,"Thomas von Kempen",Person
gnd_118522175,"Corneille, Pierre",Person
