Name,Latitude,Longitude
Habern,15.478889,49.756667
Hagenschiess,48.883333,8.766667
Haguenau,48.814228,7.786232
Halberstadt,51.9,11.05
Halle_an_der_Saale,51.5,12
Hallstadt,49.933333,10.883333
Hamburg,53.55,10
Hameln,52.1,9.35
Hanau,50.133333,8.916667
Hankensbuettel,52.733333,10.6
Hannoversch_Muenden,51.416667,9.683333
Harburg,53.466667,9.983333
Hardenberg,52.566667,6.616667
Hardenberg_a,51.316667,7.083333
Harkerode,51.683333,11.4
Harpe,52.916667,11.566667
Harpstedt,52.9,8.583333
Harste,51.6,9.866667
Hartmannshof,49.5,11.55
Harz,51.75,10.5
Haseluenne,52.666667,7.483333
Hasselroth,50.166667,9.1
Hasselt,52.6,6.1
Hausberge,52.233333,8.916667
Hehlen,51.983333,9.483333
Heidelberg,49.416667,8.7
Heidelsheim,49.101111,8.645
Heiligengrabe,53.15,12.35
Heiligenrode,52.983333,8.7
Heimsheim,48.8,8.85
Heinrichshof,53.716667,13.866667
Heldrungen,51.3,11.216667
Helfenstein,48.616667,9.85
Helmstedt,52.233333,11
Henley_on_Thames,51.533333,-.9
Heppenheim_Bergstrasse,49.640833,8.637222
Herrenberg,48.6,8.866667
Herrlitz,15.730547900000033,49.2308329
Hersbruck,49.5125,11.433889
Herzberg_Mecklenburg_Vorpommern,53.533333,11.933333
Herzogswalde,51.016667,13.5
Hessen,52.016667,10.783333
Hessisch_Oldendorf,52.166667,9.25
Hestedt,52.866667,10.983333
Hinrichshagen_Forst,53.416667,13.5
Hirschaid,49.819444,10.990833
Hitzacker,53.15,11.05
Hockenheim,49.322778,8.545833
Hoefen,50.533333,6.233333
Hoexter,51.766667,9.383333
Hofgeismar,51.483333,9.4
Hohbuehn,48.633333,7.916667
Hohenfurch,47.85,10.9
Hollabrunn,48.5667,16.0833
Holzminden,51.816667,9.45
Horb_am_Neckar,48.433333,8.683333
Horgau,48.4,10.683333
Hounslow,51.5,-.3333
Hoya,52.8,9.15
Hude,53.116667,8.466667
Huttenheim,49.196944,8.466389
Iburg,52.15,8.05
