source,target,edgetype
https://d-nb.info/gnd/122035143,https://d-nb.info/gnd/12065685X,Elternteil von
https://d-nb.info/gnd/122035143,https://d-nb.info/gnd/118577867,Elternteil von
https://d-nb.info/gnd/122035143,https://d-nb.info/gnd/137351771,Elternteil von
https://d-nb.info/gnd/122035143,https://d-nb.info/gnd/1026230187,Elternteil von
https://d-nb.info/gnd/118558390,https://d-nb.info/gnd/11949213X,Elternteil von
https://d-nb.info/gnd/101076983,https://d-nb.info/gnd/11949213X,Elternteil von
https://d-nb.info/gnd/11949213X,https://d-nb.info/gnd/118560115,verheiratet mit
https://d-nb.info/gnd/119218968,https://d-nb.info/gnd/101076983,Elternteil von
https://d-nb.info/gnd/116120053,https://d-nb.info/gnd/101076983,Elternteil von
https://d-nb.info/gnd/101076983,https://d-nb.info/gnd/118558390,verheiratet mit
https://d-nb.info/gnd/101076983,https://d-nb.info/gnd/11917426X,Elternteil von
https://d-nb.info/gnd/101076983,https://d-nb.info/gnd/11949213X,Elternteil von
https://d-nb.info/gnd/115794204,http://d-nb.info/gnd/118201875,Elternteil von
http://d-nb.info/gnd/118201875,https://d-nb.info/gnd/129821241,Elternteil von
https://d-nb.info/gnd/136101623,https://d-nb.info/gnd/118723863,Elternteil von
https://d-nb.info/gnd/12142961X,http://d-nb.info/gnd/118777688,Elternteil von
http://d-nb.info/gnd/118777688,https://d-nb.info/gnd/118584146,Elternteil von
http://d-nb.info/gnd/143348256,https://d-nb.info/gnd/142583308,verheiratet mit
https://d-nb.info/gnd/121360458,http://d-nb.info/gnd/142583308,Elternteil von
https://d-nb.info/gnd/120411326,http://d-nb.info/gnd/142583308,Elternteil von
http://d-nb.info/gnd/142583308,https://d-nb.info/gnd/143348256,verheiratet mit
http://d-nb.info/gnd/124837565,https://d-nb.info/gnd/1041615477,verheiratet mit
http://d-nb.info/gnd/1017809569,https://d-nb.info/gnd/1154316580,verheiratet mit
https://d-nb.info/gnd/115516522,http://d-nb.info/gnd/118571249,Elternteil von
https://d-nb.info/gnd/115433503,http://d-nb.info/gnd/118571249,Elternteil von
https://d-nb.info/gnd/1023911299,https://d-nb.info/gnd/118835785,verheiratet mit
https://d-nb.info/gnd/1023911299,https://d-nb.info/gnd/115473238X,Elternteil von
https://d-nb.info/gnd/1023911299,https://d-nb.info/gnd/118692925,Elternteil von
https://d-nb.info/gnd/1023911299,https://d-nb.info/gnd/119080176,Elternteil von
https://d-nb.info/gnd/1023911299,https://d-nb.info/gnd/119013797,Elternteil von
https://d-nb.info/gnd/1023911299,https://d-nb.info/gnd/173319777,Elternteil von
https://d-nb.info/gnd/118720902,http://d-nb.info/gnd/119442647,Elternteil von
https://d-nb.info/gnd/118835785,https://d-nb.info/gnd/1023911299,verheiratet mit
https://d-nb.info/gnd/118835785,https://d-nb.info/gnd/115473238X,Elternteil von
https://d-nb.info/gnd/118835785,https://d-nb.info/gnd/118692925,Elternteil von
https://d-nb.info/gnd/118835785,https://d-nb.info/gnd/119080176,Elternteil von
https://d-nb.info/gnd/118835785,https://d-nb.info/gnd/119013797,Elternteil von
https://d-nb.info/gnd/118835785,https://d-nb.info/gnd/173319777,Elternteil von
http://d-nb.info/gnd/104354526,https://d-nb.info/gnd/131527401,Elternteil von
https://d-nb.info/gnd/122430263,https://d-nb.info/gnd/1019622415,Elternteil von
https://d-nb.info/gnd/123282659,https://d-nb.info/gnd/102111847,Elternteil von
